caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f9d9db7-d84c-4ca6-ac82-09b5d0cee1ea,f32e0527-03fe-431a-8b1e-8cc40a1a479c,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,java/lang/StringBuilder.java,append
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f9d9db7-d84c-4ca6-ac82-09b5d0cee1ea,f32e0527-03fe-431a-8b1e-8cc40a1a479c,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,java/lang/StringBuilder.java,append
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f9d9db7-d84c-4ca6-ac82-09b5d0cee1ea,f32e0527-03fe-431a-8b1e-8cc40a1a479c,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,java/lang/StringBuilder.java,toString
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f9d9db7-d84c-4ca6-ac82-09b5d0cee1ea,f32e0527-03fe-431a-8b1e-8cc40a1a479c,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,java/io/PrintStream.java,println
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f9d9db7-d84c-4ca6-ac82-09b5d0cee1ea,f32e0527-03fe-431a-8b1e-8cc40a1a479c,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,216259cb-c3da-4ff2-b5cf-d329bfe4f02a,"0c37f6c5-df67-4117-bdfb-a5cfddb5c98a,c61d5608-66db-433b-9aa2-03ffe4d9a001,e710be87-b9b7-4ff2-8e1e-7d092908307c,bf5a5a8f-3a92-4e18-a8ce-a2a0883bc716,46beaef9-6fd5-4fc6-ada5-99f9a976f1a1,f7f1bc50-28d9-406f-bb96-1cf8c8c98b76"
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f9d9db7-d84c-4ca6-ac82-09b5d0cee1ea,f32e0527-03fe-431a-8b1e-8cc40a1a479c,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,216259cb-c3da-4ff2-b5cf-d329bfe4f02a,"0c37f6c5-df67-4117-bdfb-a5cfddb5c98a,c61d5608-66db-433b-9aa2-03ffe4d9a001,e710be87-b9b7-4ff2-8e1e-7d092908307c,bf5a5a8f-3a92-4e18-a8ce-a2a0883bc716,46beaef9-6fd5-4fc6-ada5-99f9a976f1a1,f7f1bc50-28d9-406f-bb96-1cf8c8c98b76"
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f9d9db7-d84c-4ca6-ac82-09b5d0cee1ea,f32e0527-03fe-431a-8b1e-8cc40a1a479c,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,216259cb-c3da-4ff2-b5cf-d329bfe4f02a,28282228-888b-4475-bb77-2bc8dcf76a37
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,5f7025db-fbef-45f5-b582-23b4b7deb8db,f7c570d0-1d5d-44fc-a85b-5707ca0c4fab,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,8f60a1fc-514b-4154-8f4e-44c9c2aa87b1,b2cce719-0084-4d26-b0c3-a2c13a1f6d4f
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,5f7025db-fbef-45f5-b582-23b4b7deb8db,f7c570d0-1d5d-44fc-a85b-5707ca0c4fab,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,org/boris/xlloop/MarshallTest.java,assertEquals
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,5f7025db-fbef-45f5-b582-23b4b7deb8db,f7c570d0-1d5d-44fc-a85b-5707ca0c4fab,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,org/boris/xlloop/MarshallTest.java,assertEquals
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,5f7025db-fbef-45f5-b582-23b4b7deb8db,f7c570d0-1d5d-44fc-a85b-5707ca0c4fab,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,org/boris/xlloop/MarshallTest.java,assertEquals
f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,5f7025db-fbef-45f5-b582-23b4b7deb8db,f7c570d0-1d5d-44fc-a85b-5707ca0c4fab,->,f6dc8a67-c665-4974-a32e-ba1a9be5e4a7,org/boris/xlloop/MarshallTest.java,assertEquals
