project_id,class_id,class_name,class_path
45410069-e58f-4214-a22d-54579b8501b7,90fdfa8c-96e0-40d9-bc8a-5ab25b037ad7,CAesEncrypt,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/crypto/CAesEncrypt.java
45410069-e58f-4214-a22d-54579b8501b7,85cd42f1-e34d-42e7-a6c4-c2ddab05dee0,CHexString,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/crypto/CHexString.java
45410069-e58f-4214-a22d-54579b8501b7,ca830615-4b5d-45bc-b4ec-2b19d64ea20f,CMd5Hash,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/crypto/CMd5Hash.java
45410069-e58f-4214-a22d-54579b8501b7,da14731e-e774-4391-8a8b-816ee3d6572f,CSha1Hash,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/crypto/CSha1Hash.java
45410069-e58f-4214-a22d-54579b8501b7,d56049b1-2c6a-411f-959c-3fc727012d6c,CSha256Hash,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/crypto/CSha256Hash.java
45410069-e58f-4214-a22d-54579b8501b7,d4b72de1-1ff2-4323-ad5d-eceaad9f2dc4,CDbConfig,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/dbconn/CDbConfig.java
45410069-e58f-4214-a22d-54579b8501b7,d3c53ecc-0a5a-404c-b16c-4ed2ce0b4fae,CDbConnMan,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/dbconn/CDbConnMan.java
45410069-e58f-4214-a22d-54579b8501b7,f76cdc6d-bc9d-4ce0-9d70-275feda29d90,CDbError,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/dbconn/CDbError.java
45410069-e58f-4214-a22d-54579b8501b7,eea9040e-6d81-4eb8-b860-236a4b7e8fd7,CDbProps,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/dbconn/CDbProps.java
45410069-e58f-4214-a22d-54579b8501b7,263800f9-f915-4572-a596-4f7a2de4cff5,CLoginProps,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/testcase-master/src/java/login/CLoginProps.java
